canonical_name,website_url
1883 at Cameron House,https://www.1883atx.com/austin/1883-at-cameron/student/
1883 at Montgomery House,https://www.1883atx.com/austin/1883-at-montgomery/student/
1907 Robbins Place Apartments,https://uptownrealtyaustin.com/communities/robbins_place/
21 Pearl,https://www.21pearlst.com/floor-plans/
21 Rio,https://www.21rio.com/floor-plans/
24 Longview,https://www.24longview.com/floor-plans/
2400 Nueces,https://housing.utexas.edu/housing/2400-nueces-apartments/2400-nueces-rates
26 West,https://www.americancampus.com/student-apartments/tx/austin/26-west/floor-plans
3000 Guadalupe St,https://uptownrealtyaustin.com/communities/3000_guadalupe/
9HUNDRED,https://9hundred.com/floorplans/
Aura Thirty2,https://www.aurathirty2.com/floorplans
Avon at 22nd,https://www.gbatx.com/properties/avon-22nd
Axis West Campus,https://www.axiswestcampus.com/floor-plans/
Ballpark East,https://www.collectiveonriverside.com/floorplans
Ballpark North,https://www.theballparkaustin.com/floor-plans/
Buena Vista Condominiums,https://housing.offcampus.utexas.edu/city/austin-tx/listing/buena-vista-condo-70594
Callaway House,https://www.americancampus.com/student-apartments/tx/austin/the-callaway-house-austin/floor-plans
Camino Flats,https://www.liveatcaminoflats.com/Floor-plans.aspx
Centennial Condos,https://uptownrealtyaustin.com/communities/centennial/
Crest at Pearl,https://www.americancampus.com/student-apartments/tx/austin/crest-at-pearl/floor-plans
Croix Condominiums,https://uptownrealtyaustin.com/communities/croix/
Delphi Condominiums,https://uptownrealtyaustin.com/communities/delphi/
Dobie Twenty21,https://housing.utexas.edu/housing/residence-halls/residence-hall-locations/dobie-twenty21
Dos Rios,https://uptownrealtyaustin.com/ut_austin_rentals/dos_rios_apartments_101/
Duval Villas,https://www.duvalvilla.com/floorplans
East Campus Graduate Apartments,https://housing.utexas.edu/housing/east-campus-graduate-apartments/ecga-rates
Elan East Apartments,https://www.elaneast.com/
Envoy Apartments,https://www.westsidegroup.com/envoy-apartments/
Escala Condominiums,https://uptownrealtyaustin.com/communities/escala_at_san_gabriel/
Estates at East Riverside,https://estatesateastriverside.com/floorplans/
Gables Condominiums,https://uptownrealtyaustin.com/communities/gables/
Galileo Condominiums,https://uptownrealtyaustin.com/communities/galileo/
Gateway Apartments,https://housing.utexas.edu/housing/university-apartments/university-apartments-rates
GrandMarc Austin,https://entrata.grandmarcaustin.com/austin/grandmarc-austin/student/
Greenwood Condominiums,https://uptownrealtyaustin.com/communities/greenwood_towers/
Halstead Co-op,https://collegehouses.org/halstead/
Haus 535,https://haus5350.com/floorplans/
High Point Preserve,https://www.highpointpreserve.com/floorplans
Hillside Creek,https://www.liveathillsidecreek.com/floorplans
Hilltop,https://www.hilltopatx.com/floor-plans/
Hyde Park Court,https://www.westsidegroup.com/hyde-park-court/
Icon at Austin,https://www.iconataustin.com/austin/icon-at-austin/student/
Inspire on 22nd,https://www.inspire22nd.com/austin/inspire-on-22nd/student/
Ion Austin,https://ion-austin.com/rates-floorplans/
Keystone Apartments,https://www.keystoneapts.com/keystone-apartments-austin-tx/floorplans
Landmark Square,https://uptownrealtyaustin.com/communities/landmark_square/
Lantern Lane Condominiums,https://uptownrealtyaustin.com/ut_austin_rentals/lantern_lane_unit_302/ | https://uptownrealtyaustin.com/ut_austin_rentals/lantern_lane_unit_203-2/
Lark Austin,https://larkaustin.com/rates-floorplans/
Laurel House Co-op,https://collegehouses.org/laurel/
Legacy on Rio,https://legacyonrio.com/floorplans/
Leon Place Condominiums,https://centralproperties.com/leon-place-condominiums/
Littlefield Apartments,https://uptownrealtyaustin.com/communities/littlefield_house/
Lone Star Lofts,https://www.thelonestarlofts.com/floor-plans
Marq Uptown,https://www.marquptown.com/floor-plans
Marq on Burnet,https://www.marqonburnet.com/floor-plans
Montage Apartments,https://www.westsidegroup.com/montage-apartments/
Moontower,https://moontoweratx.com/floorplans/
Noble 2500,https://noble2500.com/apartments/
Nueces Co-op,https://collegehouses.org/nueces/
Nueces Corner Condos,https://uptownrealtyaustin.com/communities/nueces_corner/
Oak Grove Apartments,https://www.spearheadproperties.com/property/oak-i/
Oaks at Chisholm Trail,https://www.theoaksonchisholmtrail.com/Floor-plans.aspx
Orange Tree Condominiums,https://uptownrealtyaustin.com/communities/orange_tree/
Palmetto Condominiums,https://uptownrealtyaustin.com/communities/palmetto/
Parapet Condominiums,https://uptownrealtyaustin.com/communities/parapet/
Park Place Condominiums,https://uptownrealtyaustin.com/communities/park_place_condo/
Pecan Square Apartments,https://uptownrealtyaustin.com/communities/pecan_square/
Pecan Walks,https://uptownrealtyaustin.com/communities/pecan_walk/
Penthouse Apartments,https://www.rainieratx.com/penthouse
Piazza Navona Condominiums,https://uptownrealtyaustin.com/communities/piazza_navona/
Point North,https://www.pointnorthaustin.com/
Preserve at Wells Branch,https://www.preserveatwellsbranch.com/floorplans
Presidium Tech Ridge Apartments,https://www.presidiumtechridge.com/floor-plans/
Promontory Point,https://www.missionrockresidential.com/apartments/tx/austin/promontory-point-apartments/floor-plans-interactive-map
Quarters on Campus – Grayson,https://www.quartersoncampus.com/graysonhouse/austin/grayson/student/
Quarters on Campus – Karnes House,https://www.quartersoncampus.com/karneshouse/austin/karnes/student/
Quarters on Campus – Nueces,https://www.quartersoncampus.com/nueceshouse/austin/nueces/student/
Quarters on Campus – Sterling House,https://www.quartersoncampus.com/sterlinghouse/austin/sterling/student/
Rambler Apartments,https://www.rambleratx.com/floorplans/
Redpoint San Marcos,https://redpoint-sanmarcos.com/rates-floorplans/
Regents West at 24th,https://www.regentswest24.com/floor-plans
Regents West at 26th,https://www.regentswest26.com/floor-plans
Rise at West Campus,https://www.riseatwestcampus.com/floorplans
Sabina Condominiums,https://www.sabinaaustin.com/floor-plans
San Gabriel Square,https://www.liveatsangabrielsquareaustin.com/floor-plans/
San Pedro Flats,https://uptownrealtyaustin.com/ut_austin_rentals/san_pedro_flats_302/
Signature 1909,https://www.signature1909.com/floor-plans/
Skyloft Austin,https://www.skyloftatx.com/austin/95211-skyloft/student/
Sparq on Rio,https://www.sparqonrio.com/austin/sparq-on-rio/student/
Speedway Condominiums,https://uptownrealtyaustin.com/communities/speedway_condos/
Texan 26,https://www.texan26.com/floor-plans
Texan Pearl,https://www.texanproperties.net/texan-pearl
Texan Shoal Creek Condominiums,https://uptownrealtyaustin.com/communities/texan_shoal_creek/
Texan Tower,https://uptownrealtyaustin.com/communities/texan_tower/
Texan & Vintage West Campus,https://www.americancampus.com/student-apartments/tx/austin/texan-and-vintage-west-campus/floor-plans
The Block 23,https://www.americancampus.com/student-apartments/tx/austin/the-block
The Block on 25th East,https://www.americancampus.com/student-apartments/tx/austin/the-block
The Block on 25th West,https://www.americancampus.com/student-apartments/tx/austin/the-block
The Block on 28th,https://www.americancampus.com/student-apartments/tx/austin/the-block
The Block on Leon,https://www.americancampus.com/student-apartments/tx/austin/the-block/floor-plans
The Block on Pearl North,https://www.americancampus.com/student-apartments/tx/austin/the-block
The Block on Pearl South,https://www.americancampus.com/student-apartments/tx/austin/the-block
The Block on Rio,https://www.americancampus.com/student-apartments/tx/austin/the-block/floor-plans
The Castilian,https://www.americancampus.com/student-apartments/tx/austin/the-castilian/floor-plans
The Marian Condominiums,https://resolutereco.com/marian-condominiums/
The Mark Austin,https://www.themarkatx.com/floorplans/
The Nine at Rio,https://www.the9rio.com/floorplans/
The Nine at West Campus,https://theninewestcampus.com/floorplans/
The Sinclair,https://thesinclairut.com/floor-plans/
The Sondery,https://sonderyaustin.com/floorplans/
The Standard,https://thestandardaustin.landmark-properties.com/floorplans/
The Waller,https://www.thewallersymphonysquare.com/austin/the-waller/conventional/
Tom Green Condominiums,https://uptownrealtyaustin.com/communities/tom_green_condominiums/
Torre,https://torreatx.com/floor-plans/
Town Lake Apartments,https://www.townlakeataustin.com/floor-plans
Town Lake Condos,https://www.townlakeataustin.com/floor-plans
Town Lake at Austin,https://www.townlakeataustin.com/floor-plans
Tradition on Rio,https://www.traditiononrio.com/floorplans/
Treehouse Condominiums,https://uptownrealtyaustin.com/communities/treehouse_condominiums/
Troubadour,https://troubadourliving.com/floorplans/
Twenty Two15,https://www.2215west.com/austin/twenty-two-15/student/
Union on 24th,https://www.unionon24th.com/austin/union-on-24th/student/
Union on San Antonio,https://www.uniononsanantonio.com/austin/union-on-san-antonio/student/
VEER Apartments,https://www.veeraustin.com/floorplans
Vanderbilt Condominiums,https://uptownrealtyaustin.com/communities/vanderbilt_condos/
Venue on Guadalupe,https://venueonguadalupe.prospectportal.com/austin/venue-on-guadalupe/student/
Village at East Riverside,https://villageateastriverside.com/floorplans/
Villas at San Gabriel,https://villasatsangabriel.com/floor-plans/
Villas on 24th,https://www.villason24th.com/floor-plans/
Villas on 26th,https://villason26.com/floorplans/
Villas on Guadalupe,https://www.villasonguadalupe.com/floor-plans/
Villas on Nueces,https://villasonnueces.com/floorplans/
Villas on Rio,https://villasonrio.com/floor-plans/
Waterford Condominiums,https://uptownrealtyaustin.com/communities/waterford/
Wedgewood Condominiums,https://uptownrealtyaustin.com/communities/wedgewood/
West Campus Elloras,https://housing.offcampus.utexas.edu/city/austin-tx/listing/west-campus-elloras-114561
West Campus Flats,https://uptownrealtyaustin.com/ut_austin_rentals/west_campus_flats/
Windtree Condominiums,https://uptownrealtyaustin.com/communities/windtree/
Yugo Austin Corner,https://yugo.com/en-us/global/united-states-of-america/austin-tx/yugo-austin-corner
Yugo Austin Nueces,https://yugo.com/en-us/global/united-states-of-america/austin-tx/yugo-austin-nueces
Yugo Austin Rio,https://yugo.com/en-us/global/united-states-of-america/austin-tx/yugo-austin-rio
Yugo Austin Waterloo,https://yugo.com/en-us/global/united-states-of-america/austin-tx/yugo-austin-waterloo
